feature_a,feature_b,abs_pearson_r,feature_a_outcome_corr_abs,feature_b_outcome_corr_abs,kept_feature,dropped_feature
dwi_wavelet-HLH_glrlm_HighGrayLevelRunEmphasis,dwi_wavelet-HLH_glrlm_LowGrayLevelRunEmphasis,0.9340023170996892,0.07530538065389253,0.064393307156193,dwi_wavelet-HLH_glrlm_HighGrayLevelRunEmphasis,dwi_wavelet-HLH_glrlm_LowGrayLevelRunEmphasis
dwi_log-sigma-1-0-mm-3D_firstorder_Variance,dwi_log-sigma-2-0-mm-3D_firstorder_Variance,0.935164682336795,0.07055552461175399,0.0760470409494578,dwi_log-sigma-2-0-mm-3D_firstorder_Variance,dwi_log-sigma-1-0-mm-3D_firstorder_Variance
ce_wavelet-HHL_glrlm_GrayLevelNonUniformityNormalized,ce_wavelet-HHL_glcm_DifferenceEntropy,0.9761020074865389,0.030132132167174697,0.01749828218150588,ce_wavelet-HHL_glrlm_GrayLevelNonUniformityNormalized,ce_wavelet-HHL_glcm_DifferenceEntropy
dwi_log-sigma-2-0-mm-3D_firstorder_Variance,dwi_original_firstorder_90Percentile,0.8057370180836122,0.0760470409494578,0.13138979888883973,dwi_original_firstorder_90Percentile,dwi_log-sigma-2-0-mm-3D_firstorder_Variance
dwi_original_firstorder_90Percentile,dwi_wavelet-LLL_firstorder_90Percentile,0.99996927686993,0.13138979888883973,0.1313377214428069,dwi_original_firstorder_90Percentile,dwi_wavelet-LLL_firstorder_90Percentile
dwi_original_firstorder_90Percentile,dwi_original_firstorder_Maximum,0.9929198512453203,0.13138979888883973,0.12069298684556976,dwi_original_firstorder_90Percentile,dwi_original_firstorder_Maximum
dwi_wavelet-HLH_glrlm_HighGrayLevelRunEmphasis,dwi_wavelet-HLH_gldm_HighGrayLevelEmphasis,0.9988436130526243,0.07530538065389253,0.06399504049109166,dwi_wavelet-HLH_glrlm_HighGrayLevelRunEmphasis,dwi_wavelet-HLH_gldm_HighGrayLevelEmphasis
ce_wavelet-HHL_gldm_GrayLevelVariance,ce_wavelet-HHL_glcm_DifferenceVariance,0.9938708344710007,0.0189160887473723,0.01877719004164347,ce_wavelet-HHL_gldm_GrayLevelVariance,ce_wavelet-HHL_glcm_DifferenceVariance
dwi_original_firstorder_90Percentile,dwi_wavelet-LLL_firstorder_Maximum,0.9936905751097844,0.13138979888883973,0.11897779157655511,dwi_original_firstorder_90Percentile,dwi_wavelet-LLL_firstorder_Maximum
dwi_wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,dwi_wavelet-LLH_glrlm_HighGrayLevelRunEmphasis,0.9968789683642664,0.02406432981156568,0.01878549698362999,dwi_wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,dwi_wavelet-LLH_glrlm_HighGrayLevelRunEmphasis
