gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
PROM1,-0.14195074909091,9.04831197744361,-0.344969178836589,0.730660613430602,0.785707302507968,-6.21811904703129
MYEF2,-0.141959945454546,2.6118432556391,-3.8007576076868,0.0002184555989635,0.0012202723973302,0.381624130002561
TRPC3,-0.141970444848485,2.68251921052632,-2.67140919447577,0.0084938250810099,0.0196667805360593,-2.89837963853078
APOC2,-0.142026787575758,4.70287830075188,-2.41303637084097,0.0171783234883092,0.03530448891194,-3.50659598990106
TES,-0.142031593030301,8.07612336842105,-0.93627476755007,0.350822890189225,0.435679903244345,-5.85112698447339
TP53I3,-0.142033094242427,8.60133337593985,-0.890024216345521,0.375054475050313,0.45988484155134,-5.8919375557192
TAS2R16,-0.142093003636364,2.79337348120301,-2.63207387920431,0.0094866220114397,0.0215622523268348,-2.99457067388537
GABRG3-AS1,-0.142178318787879,4.09512111278196,-1.97870629315461,0.0499079031768639,0.0858504387640191,-4.40038941910629
PPP1R3A,-0.142235176060606,2.53863613533835,-3.26300225518465,0.0014000519136245,0.0046621765909212,-1.3014207483356
PTRH1,-0.142266868484849,3.78638872180451,-2.33651266239355,0.0209536400133315,0.0415811892970364,-3.67591970638142
PHF2P1,-0.142298995151516,2.52650321052632,-2.8204080043044,0.0055285215419497,0.0138766371862342,-2.5225000977572
SCML2,-0.14239144363636,7.02048187218045,-1.40760858072012,0.161571925868644,0.228578419021457,-5.31979593342862
PPP3CB-AS1,-0.142488951818183,4.55381036842105,-1.53094418981283,0.128150155850013,0.188344157418467,-5.14646261605211
ADAM21,-0.142530741515152,3.12914581954887,-2.26627561398737,0.0250437865050339,0.0481554397527026,-3.82691683777128
ST7-OT4,-0.142583885151516,2.30790241353383,-3.37423731679626,0.0009693520452075,0.0035349131301752,-0.970725947467815
POF1B,-0.142697145151515,2.23958857142857,-3.20065065938357,0.0017137666890317,0.005460467474459,-1.4826824776467
CES4A,-0.142728276969696,5.50446579699248,-1.09527001579589,0.275371028316543,0.356930357602206,-5.69531054786174
CACNB2,-0.142785124848485,3.1779717518797,-2.69643930244806,0.0079120110365406,0.0185514144954335,-2.83650615112524
TUB,-0.142853037575756,3.63617754135338,-2.86980641501047,0.0047771504778534,0.0123420928905688,-2.39390078199025
STX12,-0.142984893939391,7.71494304511278,-1.63609373439045,0.1041761813343,0.158199845703088,-4.98761913428504
NWD2,-0.143099226666667,2.49248573684211,-2.27755760949101,0.0243430017091992,0.0470139212192971,-3.80294889301216
CTRB2,-0.143120388484848,4.42405846616541,-2.37939023866027,0.0187568724202152,0.0379803149868912,-3.58166019275229
