Radiomics_Score,Protein,N,Pearson_r,Abs_r,P_value,FDR_BH_P,Significant_r_ge_0.3,Significant_r_ge_0.4,Description,Regulation,log2FoldChange,FoldChange
RadScore,RSPH1,32,-0.5005076208749779,0.5005076208749779,0.0035295091482872,0.0159964416962036,True,True,Radial spoke head 1 homolog,Down,-5.4141686875,0.0234516186516202
RadScore,CAPSL,32,-0.4910492189416556,0.4910492189416556,0.0043201707499668,0.0159964416962036,True,True,Calcyphosin-like protein,Down,-6.7043880625,0.0095891053636379
RadScore,IGF1,32,0.4860248294124339,0.4860248294124339,0.0047989325088611,0.0159964416962036,True,True,Insulin-like growth factor 1,Up,4.75646175,27.0294780872387
RadScore,GRIA2,32,-0.4587607224272643,0.4587607224272643,0.0082685446631286,0.0206713616578215,True,True,Glutamate receptor 2,Down,-3.376608625,0.0962807623282361
RadScore,ESR1,32,-0.4408028413805874,0.4408028413805874,0.0115647032984511,0.0231294065969023,True,True,Estrogen receptor,Down,-1.871173125,0.273351059973492
RadScore,ARMC3,32,-0.4165841919562174,0.4165841919562174,0.017703890801163,0.029506484668605,True,True,Armadillo repeat-containing protein 3,Down,-4.9889511875,0.0314902454435387
